corpus,feature,term,coef,p_value
seame,F0avg,C(condition)[T.monolingual_EN],-1.2039,0.0065
seame,F0avg,C(condition)[T.monolingual_ZH],-1.1612,0.0052
seame,F0avg,has_discourse_marker[T.True],-0.7317,0.0227
seame,F0avg,has_repetition[T.True],-2.5901,0.0
seame,F0avg,Group Var,1.7614,0.0
seame,lastF0min,Intercept,154.9338,0.0
seame,lastF0min,C(condition)[T.monolingual_EN],-3.8194,0.0
seame,lastF0min,C(condition)[T.monolingual_ZH],-0.9507,0.017
seame,lastF0min,has_discourse_marker[T.True],-1.2535,0.0
seame,lastF0min,has_repetition[T.True],-1.7413,0.0
seame,lastF0min,Group Var,2.1023,0.0
