model_type,feature,term,masac,seame
all_condition,F0mseavg,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a],1886189858042.3572,
all_condition,F0mseavg,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i,_a,_o]",0.0,
all_condition,F0mseavg,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i,_a]",0.0,
all_condition,F0mseavg,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i],15.193404774887277,
all_condition,F0mseavg,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o,_a]",0.0,
all_condition,F0mseavg,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o,_i]",0.0,
all_condition,F0mseavg,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o],212.23440608302207,
all_condition,F0mseavg,C(condition)[T.monolingual_ZH],,-26.076727650459677
all_condition,F0mseavg,C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+],,-13.89319287292993
all_condition,F0mseavg,C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19],,157.5942773916902
all_condition,F0mseavg,C(condition)[T.monolingual_ZH]:C(gender)[T.male],,85.96116567884907
all_condition,F0mseavg,C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean],,-108.67636111272662
all_condition,F0mseavg,C(dialogue_act)[T.1],-2146514175760762.5,
all_condition,F0mseavg,"C(dialogue_act)[T.a,_i]",6.464600708065448,
all_condition,F0mseavg,"C(dialogue_act)[T.a,_o]",-79.83054061548057,
all_condition,F0mseavg,C(dialogue_act)[T.a],-33.125134149780294,
all_condition,F0mseavg,"C(dialogue_act)[T.i,_a,_o]",-213.3520562344551,
all_condition,F0mseavg,"C(dialogue_act)[T.i,_a]",-50.89924428308437,
all_condition,F0mseavg,C(dialogue_act)[T.i],-30.91301615864921,
all_condition,F0mseavg,"C(dialogue_act)[T.o,_a]",180.95369650462672,
all_condition,F0mseavg,"C(dialogue_act)[T.o,_i]",-29.552870982648244,
all_condition,F0mseavg,C(dialogue_act)[T.o],-82.35413857442173,
all_condition,F0mseavg,C(gender)[T.male],,-324.14438150603263
all_condition,F0mseavg,C(nationality)[T.singaporean],,194.51250104113004
all_condition,F0mseavg,Intercept,382.12548655065814,278.42916363404026
all_condition,F0mseavg,has_discourse_marker[T.True],-29.594351148359706,12.396060553492722
all_condition,F0mseavg,has_repetition[T.True],3.599977966257847,33.59787208224311
all_condition,F0msemax,C(age_bucket)[T.25+],,-78.70272539679219
all_condition,F0msemax,C(age_bucket)[T.<19],,67.28223901933008
all_condition,F0msemax,C(audience_proficiency_proxy)[T.low_l2],-705.8007960642874,
all_condition,F0msemax,C(audience_proficiency_proxy)[T.mid_l2],20.483400209196873,
all_condition,F0msemax,C(condition)[T.monolingual_EN],-510.5571701084179,-53.156723411854756
