corpus,model_type,feature,term,coef,p_value,aic,n
masac,all_condition,F0tiltmin,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i,_a,_o]",0.0,,100392.56096028516,6476
masac,all_condition,F0tiltmin,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i,_a,_o]",0.0,,100392.56096028516,6476
masac,all_condition,F0tiltmin,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o],-122.56947109469778,,100392.56096028516,6476
masac,all_condition,F0tiltmin,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o],-715.3047258696516,,100392.56096028516,6476
masac,all_condition,F0tiltmin,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o,_a]",0.0,,100392.56096028516,6476
masac,all_condition,F0tiltmin,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o,_a]",0.0,,100392.56096028516,6476
masac,all_condition,F0tiltmin,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o,_i]",0.0,,100392.56096028516,6476
masac,all_condition,F0tiltmin,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o,_i]",0.0,,100392.56096028516,6476
masac,all_condition,F0tiltmin,C(condition)[T.monolingual_EN]:C(audience_proficiency_proxy)[T.low_l2],-765.6587944600246,,100392.56096028516,6476
masac,all_condition,F0tiltmin,C(condition)[T.monolingual_HI]:C(audience_proficiency_proxy)[T.low_l2],-384.08007086776774,,100392.56096028516,6476
masac,all_condition,F0tiltmin,C(condition)[T.monolingual_EN]:C(audience_proficiency_proxy)[T.mid_l2],48.56569950644532,,100392.56096028516,6476
masac,all_condition,F0tiltmin,C(condition)[T.monolingual_HI]:C(audience_proficiency_proxy)[T.mid_l2],-47.44762185395802,,100392.56096028516,6476
masac,all_condition,F0tiltmax,Intercept,539.0418589632686,,99776.72024730511,6476
masac,all_condition,F0tiltmax,C(condition)[T.monolingual_EN],-220.78556747082985,,99776.72024730511,6476
masac,all_condition,F0tiltmax,C(condition)[T.monolingual_HI],-139.4130675628312,,99776.72024730511,6476
masac,all_condition,F0tiltmax,has_discourse_marker[T.True],64.20597287056202,,99776.72024730511,6476
masac,all_condition,F0tiltmax,has_repetition[T.True],146.2257694273756,,99776.72024730511,6476
masac,all_condition,F0tiltmax,C(dialogue_act)[T.1],-2333547083303602.0,,99776.72024730511,6476
masac,all_condition,F0tiltmax,C(dialogue_act)[T.a],120.39894949053138,,99776.72024730511,6476
masac,all_condition,F0tiltmax,"C(dialogue_act)[T.a,_i]",285.68249480411765,,99776.72024730511,6476
masac,all_condition,F0tiltmax,"C(dialogue_act)[T.a,_o]",-173.12653404613334,,99776.72024730511,6476
masac,all_condition,F0tiltmax,C(dialogue_act)[T.i],56.83191901286705,,99776.72024730511,6476
masac,all_condition,F0tiltmax,"C(dialogue_act)[T.i,_a]",192.71783672931542,,99776.72024730511,6476
masac,all_condition,F0tiltmax,"C(dialogue_act)[T.i,_a,_o]",380.17619642796126,,99776.72024730511,6476
masac,all_condition,F0tiltmax,C(dialogue_act)[T.o],120.56578506501089,,99776.72024730511,6476
masac,all_condition,F0tiltmax,"C(dialogue_act)[T.o,_a]",184.73949870469917,,99776.72024730511,6476
masac,all_condition,F0tiltmax,"C(dialogue_act)[T.o,_i]",154.51807025556855,,99776.72024730511,6476
masac,all_condition,F0tiltmax,C(audience_proficiency_proxy)[T.low_l2],-208.81116161012642,,99776.72024730511,6476
masac,all_condition,F0tiltmax,C(audience_proficiency_proxy)[T.mid_l2],16.709203856486422,,99776.72024730511,6476
masac,all_condition,F0tiltmax,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.1],24300060855372.723,,99776.72024730511,6476
